scenario,type,slave_count,slave_info,users,blob,workers
43,Async,1,nearest,50,500,0
44,Async,1,farthest,50,500,0
45,Async,2,,50,500,0
46,Async,1,nearest,50,500,2
47,Async,1,farthest,50,500,2
48,Async,2,,50,500,2
49,Async,1,nearest,50,5000,0
50,Async,1,farthest,50,5000,0
51,Async,2,,50,5000,0
52,Async,1,nearest,50,5000,2
53,Async,1,farthest,50,5000,2
54,Async,2,,50,5000,2
55,Async,1,nearest,50,50000,0
56,Async,1,farthest,50,50000,0
57,Async,2,,50,50000,0
58,Async,1,nearest,50,50000,2
59,Async,1,farthest,50,50000,2
60,Async,2,,50,50000,2
61,Async,1,nearest,100,500,0
62,Async,1,farthest,100,500,0
63,Async,2,,100,500,0
64,Async,1,nearest,100,500,2
65,Async,1,farthest,100,500,2
66,Async,2,,100,500,2
67,Async,1,nearest,100,5000,0
68,Async,1,farthest,100,5000,0
69,Async,2,,100,5000,0
70,Async,1,nearest,100,5000,2
71,Async,1,farthest,100,5000,2
72,Async,2,,100,5000,2
73,Async,1,nearest,100,50000,0
74,Async,1,farthest,100,50000,0
75,Async,2,,100,50000,0
76,Async,1,nearest,100,50000,2
77,Async,1,farthest,100,50000,2
78,Async,2,,100,50000,2
79,SemiSync,1,nearest,50,500,0
80,SemiSync,1,farthest,50,500,0
81,SemiSync,2,1 ack,50,500,0
82,SemiSync,2,2 acks,50,500,0
83,SemiSync,1,nearest,50,500,2
84,SemiSync,1,farthest,50,500,2
85,SemiSync,2,1 ack,50,500,2
86,SemiSync,2,2 acks,50,500,2
87,SemiSync,1,nearest,50,5000,0
88,SemiSync,1,farthest,50,5000,0
89,SemiSync,2,1 ack,50,5000,0
90,SemiSync,2,2 acks,50,5000,0
91,SemiSync,1,nearest,50,5000,2
92,SemiSync,1,farthest,50,5000,2
93,SemiSync,2,1 ack,50,5000,2
94,SemiSync,2,2 acks,50,5000,2
95,SemiSync,1,nearest,50,50000,0
96,SemiSync,1,farthest,50,50000,0
97,SemiSync,2,1 ack,50,50000,0
98,SemiSync,2,2 acks,50,50000,0
99,SemiSync,1,nearest,50,50000,2
100,SemiSync,1,farthest,50,50000,2
101,SemiSync,2,1 ack,50,50000,2
102,SemiSync,2,2 acks,50,50000,2
103,SemiSync,1,nearest,100,500,0
104,SemiSync,1,farthest,100,500,0
105,SemiSync,2,1 ack,100,500,0
106,SemiSync,2,2 acks,100,500,0
107,SemiSync,1,nearest,100,500,2
108,SemiSync,1,farthest,100,500,2
109,SemiSync,2,1 ack,100,500,2
110,SemiSync,2,2 acks,100,500,2
111,SemiSync,1,nearest,100,5000,0
112,SemiSync,1,farthest,100,5000,0
113,SemiSync,2,1 ack,100,5000,0
114,SemiSync,2,2 acks,100,5000,0
115,SemiSync,1,nearest,100,5000,2
116,SemiSync,1,farthest,100,5000,2
117,SemiSync,2,1 ack,100,5000,2
118,SemiSync,2,2 acks,100,5000,2
119,SemiSync,1,nearest,100,50000,0
120,SemiSync,1,farthest,100,50000,0
121,SemiSync,2,1 ack,100,50000,0
122,SemiSync,2,2 acks,100,50000,0
123,SemiSync,1,nearest,100,50000,2
124,SemiSync,1,farthest,100,50000,2
125,SemiSync,2,1 ack,100,50000,2
126,SemiSync,2,2 acks,100,50000,2